"age","age_o","samerace","importance_same_race","importance_same_religion","pref_o_attractive","pref_o_sincere","pref_o_intelligence","pref_o_funny","pref_o_ambitious","pref_o_shared_interests","attractive_o","sinsere_o","intelligence_o","funny_o","ambitous_o","shared_interests_o","attractive_important","sincere_important","intellicence_important","funny_important","ambtition_important","shared_interests_important","attractive","sincere","intelligence","funny","ambition","attractive_partner","sincere_partner","intelligence_partner","funny_partner","ambition_partner","shared_interests_partner","interests_correlate","like","guess_prob_liked","met","decision","match"
26,22,0,1,1,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,0.68,8,5,0,1,1
26,23,0,1,1,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,-0.26,7,5,0,1,1
26,24,0,1,1,30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,-0.01,5,5,0,1,1
26,25,0,1,1,50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,0.42,6,5,0,1,1
26,30,0,1,1,35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,0.21,7,5,0,1,1
26,28,0,1,1,50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,-0.35,7,6,0,1,1
26,28,1,4,4,50,0,25,10,0,15,7,7,7,7,6,6,15,15,15,40,10,5,6,8,10,6,9,9,9,9,9,9,9,0.49,9,9,0,1,1
22,25,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,-0.11,9,4,0,1,1
22,26,0,1,1,20,10,20,30,10,10,10,10,10,10,10,10,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,0.03,8,4,0,1,1
22,21,1,3,5,15,20,20,15,15,15,5,8,9,8,5,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,0.16,10,10,1,1,1
22,25,0,3,5,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,0.42,10,10,0,1,1
22,26,0,3,5,20,10,20,30,10,10,5,10,10,6,6,6,19,18,19,18,14,12,4,7,8,8,3,10,10,10,10,10,10,0.68,10,10,0,1,1
23,21,0,1,1,15,20,20,15,15,15,7,6,8,7,6,8,30,5,15,40,5,5,9,9,9,9,9,7,8,9,8,9,8,0.61,7,7,0,1,1
23,24,1,1,1,45,5,25,20,0,5,7,9,7,6,5,7,30,5,15,40,5,5,9,9,9,9,9,9,9,9,9,9,9,-0.21,9,7,0,1,1
23,23,1,1,1,20,20,20,20,10,10,8,10,7,10,7,10,30,5,15,40,5,5,9,9,9,9,9,7,7,7,9,9,9,-0.18,8,10,1,1,1
23,21,1,1,1,20,5,25,25,10,15,8,5,5,7,7,9,30,5,15,40,5,5,9,9,9,9,9,6,8,6,8,10,10,0.08,7,7,1,1,1
23,23,0,1,1,10,25,20,25,5,15,8,6,7,8,2,8,30,5,15,40,5,5,9,9,9,9,9,6,8,8,7,9,8,0.12,7,7,0,1,1
23,22,0,1,1,15,15,25,20,15,10,7,8,8,7,7,6,30,5,15,40,5,5,9,9,9,9,9,8,8,9,8,9,9,-0.46,8,7,1,1,1
23,25,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,30,5,15,40,5,5,9,9,9,9,9,8,8,8,8,8,7,-0.4,8,7,0,1,1
23,26,0,1,1,20,10,20,30,10,10,10,9,8,8,7,7,30,5,15,40,5,5,9,9,9,9,9,7,8,7,8,8,7,-0.26,7,7,0,1,1
24,21,0,3,1,15,20,20,15,15,15,5,6,7,7,6,6,30,10,20,10,10,20,7,7,7,9,9,8,7,9,6,9,7,0.21,8,6,0,1,1
24,26,0,3,1,20,10,20,30,10,10,5,10,8,8,5,5,30,10,20,10,10,20,7,7,7,9,9,7,9,8,9,7,7,-0.01,7,8,0,1,1
25,25,1,9,2,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,50,0,30,10,0,10,6,6,8,8,6,8,7,7,7,8,7,0.28,7,6,0,1,1
25,26,0,9,2,20,10,20,30,10,10,8,9,9,7,6,5,50,0,30,10,0,10,6,6,8,8,6,6,6,7,8,7,7,0.42,6,5,0,1,1
30,26,0,1,1,20,10,20,30,10,10,6,8,9,6,6,6,35,15,25,10,5,10,7,7,6,8,4,8,6,7,8,6,5,0.21,8,4,0,1,1
27,25,1,8,8,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,9,8,8,8,7,5,0.17,7,5,0,1,1
28,21,0,1,1,15,20,20,15,15,15,7,6,8,9,8,8,50,0,25,10,0,15,10,6,10,10,10,7,7,8,8,8,9,0.28,6.5,8,0,1,1
28,24,1,1,1,45,5,25,20,0,5,7,6,8,9,4,5,50,0,25,10,0,15,10,6,10,10,10,8,6,9,9,8,7,0.11,8,8,0,1,1
28,23,1,1,1,20,20,20,20,10,10,9,8,10,10,7,8,50,0,25,10,0,15,10,6,10,10,10,7,7,7,10,9,10,-0.47,8,8,0,1,1
28,21,1,1,1,20,5,25,25,10,15,7,5,7,8,7,9,50,0,25,10,0,15,10,6,10,10,10,5,9,9,9,9,6,-0.13,7,7,0,1,1
28,23,0,1,1,10,25,20,25,5,15,7,6,8,8,6,9,50,0,25,10,0,15,10,6,10,10,10,6,7,7,6,6,6,0.46,6,6,0,1,1
28,22,0,1,1,15,15,25,20,15,10,6,6,8,8,8,6,50,0,25,10,0,15,10,6,10,10,10,9,7,9,9,9,10,-0.34,9,9,0,1,1
28,25,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,8,8,5,9,8,9,50,0,25,10,0,15,10,6,10,10,10,8,7,8,10,8,10,-0.47,8,8,0,1,1
28,26,0,1,1,20,10,20,30,10,10,8,5,5,6,5,5,50,0,25,10,0,15,10,6,10,10,10,6,6,6,7,6,6,-0.35,6,6,0,1,1
28,26,1,1,1,15,15,15,40,10,5,9,9,9,9,9,9,50,0,25,10,0,15,10,6,10,10,10,7,7,7,7,6,6,0.49,7,8,0,1,1
24,25,1,1,1,9.09,18.18,27.27,18.18,18.18,9.09,7,6,8,7,9,8,100,0,0,0,0,0,7,7,10,10,10,8,10,9,9,8,8,-0.21,8,8,0,1,1
27,24,0,1,2,25,15,25,25,15,15,6,7,6,6,8,5,20,20,20,10,10,20,7,8,7,8,7,6,8,8,7,7,6,-0.21,6,6,0,1,1
27,28,0,1,2,25,15,25,15,0,20,7,7,7,5,6,5,20,20,20,10,10,20,7,8,7,8,7,6,7,7,4,6,6,-0.02,6,6,0,1,1
21,24,0,9,6,25,35,30,10,0,0,4,6,5,4,3,2,10,20,40,10,10,10,5,8,6,7,8,5,7,8,6,6,7,-0.35,7,6,0,1,1
21,24,0,9,6,25,15,25,25,15,15,8,8,8,10,7,8,10,20,40,10,10,10,5,8,6,7,8,7,7,7,6,6,9,-0.17,9,10,1,1,1
21,28,0,9,6,25,15,25,15,0,20,7,8,7,6,6,6,10,20,40,10,10,10,5,8,6,7,8,6,7,7,6,7,5,-0.1,7,5,0,1,1
22,26,0,1,5,20,35,20,10,10,5,9,8,8,8,7,9,17,10,18,20,25,10,6,6,7,7,7,8,7,6,6,4,4,0.29,6,5,0,1,1
22,24,1,4,5,25,15,25,25,15,15,7,6,7,6,7,5,20,22,18,15,15,10,6,9,8,7,8,8,6,7,3,7,2,-0.41,6,4,0,1,1
22,28,1,4,5,25,15,25,15,0,20,8,8,6,7,6,6,20,22,18,15,15,10,6,9,8,7,8,6,8,7,4,7,2,0.08,6,4,0,1,1
23,23,0,2,4,20,25,25,10,10,10,7,9,10,10,10,10,10,20,20,20,20,10,7,8,9,8,8,7,7,8,8,7,8,0.49,8,5,0,1,1
24,23,0,4,8,20,25,25,10,10,10,8,10,10,10,10,8,35,10,20,20,10,5,8,8,9,8,9,9,8,7,10,9,8,-0.32,8.5,9,1,1,1
21,25,1,2,2,20,20,20,20,5,15,8,8,7,6,7,6,30,5,30,15,15,5,7,7,7,7,8,7,8,8,7,8,6,-0.01,7,7,0,1,1
25,28,1,9,7,25,15,25,15,0,20,8,6,7,6,7,7,20,23,23,22,7,5,8,9,9,9,7,7,8,9,7,8,9,-0.01,8,8,0,1,1
25,26,1,9,7,20,35,20,10,10,5,8,8,8,6,9,8,20,23,23,22,7,5,8,9,9,9,7,8,8,9,9,8,10,0.01,8,8,0,1,1
25,25,0,9,7,20,20,20,20,5,15,8,8,10,5,6,5,20,23,23,22,7,5,8,9,9,9,7,7,9,9,9,9,10,0.18,8,8,0,1,1
25,28,1,9,7,40,15,20,10,5,10,8,7,8,8,8,6,20,23,23,22,7,5,8,9,9,9,7,8,8,8,8,8,6,-0.2,8,7,0,1,1
26,25,0,7,8,20,20,20,20,5,15,8,8,7,7,10,5,20,25,20,15,15,5,8,7,8,8,6,4,5,8,8,10,8,0,8,5,1,1,1
26,23,1,7,8,25,10,35,15,0,15,5,6,8,5,5,2,20,25,20,15,15,5,8,7,8,8,6,5,2,6,2,5,4,-0.47,5,6,0,1,1
27,24,1,5,8,25,15,25,25,15,15,5,5,6,5,7,5,10,10,30,25,10,15,7,8,7,9,5,7,6,8,6,9,6,0.31,7,7,0,1,1
27,21,1,5,8,15,20,15,30,5,15,5,7,6,7,6,5,10,10,30,25,10,15,7,8,7,9,5,2,6,6,6,4,5,-0.05,5,5,0,1,1
23,25,0,8,1,20,20,20,20,5,15,8,7,7,8,8,4,50,10,20,10,10,0,8,2,7,8,8,9,9,9,8,5,3,-0.36,7,2,0,1,1
23,23,1,8,1,20,25,25,10,10,10,8,10,10,10,10,10,50,10,20,10,10,0,8,2,7,8,8,8,8,8,8,9,8,0.11,9,6,1,1,1
24,30,0,6,4,20,20,25,25,5,5,3,7,6,5,5,6,20,20,20,15,15,10,6,9,6,8,7,5,5,8,8,5,7,0.12,7,5,0,1,1
24,21,0,1,1,10,20,40,10,10,10,5,7,8,6,6,7,25,35,30,10,0,0,3,8,3,7,2,4,6,5,4,3,2,-0.35,6,4,1,1,1
24,27,0,3,3,20,20,20,10,10,20,6,8,8,7,7,6,25,15,25,25,15,15,7,9,8,9,9,6,7,6,6,8,5,-0.21,6,5,0,1,1
24,21,0,3,3,10,20,40,10,10,10,7,7,7,6,6,9,25,15,25,25,15,15,7,9,8,9,9,8,8,8,10,7,8,-0.17,8,8,1,1,1
24,22,1,3,3,20,22,18,15,15,10,8,6,7,3,7,2,25,15,25,25,15,15,7,9,8,9,9,7,6,7,6,7,5,-0.41,7,5,0,1,1
24,27,1,3,3,10,10,30,25,10,15,7,6,8,6,9,6,25,15,25,25,15,15,7,9,8,9,9,5,5,6,5,7,5,0.31,6,5,0,1,1
28,27,0,6,6,20,20,20,10,10,20,6,7,7,4,6,6,25,15,25,15,0,20,7,8,6,8,7,7,7,7,5,6,5,-0.02,6,5,0,1,1
28,21,0,6,6,10,20,40,10,10,10,6,7,7,6,7,5,25,15,25,15,0,20,7,8,6,8,7,7,8,7,6,6,6,-0.1,7,7,0,1,1
28,22,1,6,6,20,22,18,15,15,10,6,8,7,4,7,2,25,15,25,15,0,20,7,8,6,8,7,8,8,6,7,6,6,0.08,7,7,0,1,1
28,25,1,6,6,20,23,23,22,7,5,7,8,9,7,8,9,25,15,25,15,0,20,7,8,6,8,7,8,6,7,6,7,7,-0.01,7,7,0,1,1
26,22,0,2,3,17,10,18,20,25,10,8,7,6,6,4,4,20,35,20,10,10,5,7,8,5,7,7,9,8,8,8,7,9,0.29,9.5,7,0,1,1
26,25,1,2,3,20,23,23,22,7,5,8,8,9,9,8,10,20,35,20,10,10,5,7,8,5,7,7,8,8,8,6,9,8,0.01,8,5,0,1,1
30,24,0,2,2,20,20,20,15,15,10,5,5,8,8,5,7,20,20,25,25,5,5,8,7,9,9,3,3,7,6,5,5,6,0.12,5,6,0,1,1
25,21,1,1,3,30,5,30,15,15,5,7,8,8,7,8,6,20,20,20,20,5,15,7,10,10,10,8,8,8,7,6,7,6,-0.01,6,9,0,1,1
25,25,0,1,3,20,23,23,22,7,5,7,9,9,9,9,10,20,20,20,20,5,15,7,10,10,10,8,8,8,10,5,6,5,0.18,7,4,0,1,1
25,26,0,1,3,20,25,20,15,15,5,4,5,8,8,10,8,20,20,20,20,5,15,7,10,10,10,8,8,8,7,7,10,5,0,8,4,0,1,1
25,23,0,1,3,50,10,20,10,10,0,9,9,9,8,5,3,20,20,20,20,5,15,7,10,10,10,8,8,7,7,8,8,4,-0.36,8,6,0,1,1
23,26,1,5,10,20,25,20,15,15,5,5,2,6,2,5,4,25,10,35,15,0,15,6,8,2,10,2,5,6,8,5,5,2,-0.47,5,4,0,1,1
28,25,1,2,2,20,23,23,22,7,5,8,8,8,8,8,6,40,15,20,10,5,10,8,9,8,8,8,8,7,8,8,8,6,-0.2,8,6,0,1,1
23,23,0,1,1,10,20,20,20,20,10,7,7,8,8,7,8,20,25,25,10,10,10,6,10,10,9,10,7,9,10,10,10,10,0.49,8,9,0,1,1
23,24,0,1,1,35,10,20,20,10,5,9,8,7,10,9,8,20,25,25,10,10,10,6,10,10,9,10,8,10,10,10,10,8,-0.32,10,10,1,1,1
23,23,1,1,1,50,10,20,10,10,0,8,8,8,8,9,8,20,25,25,10,10,10,6,10,10,9,10,8,10,10,10,10,10,0.11,10,10,1,1,1
23,26,1,10,9,25,10,20,20,15,10,8,6,7,7,7,5,17,18,18,15,17,15,10,10,9,8,5,4,7,9,9,10,7,0.07,9,9,0,1,1
22,21,1,10,10,60,15,0,15,0,10,6,9,8,6,8,6,10,20,20,20,15,15,6,10,10,9,10,10,9,9,8,8,7,-0.34,8,7,0,1,1
28,21,1,1,5,60,15,0,15,0,10,6,6,8,7,7,2,15,15,20,15,15,20,7,10,7,10,7,6,9,8,8,8,5,-0.47,6,4,0,1,1
28,24,0,1,5,20,20,20,20,10,10,6,7,8,6,5,7,15,15,20,15,15,20,7,10,7,10,7,6,8,8,8,8,5,0.28,7,4,0,1,1
26,22,0,1,1,20,15,20,20,5,10,10,10,10,10,10,10,30,10,20,20,10,10,9,9,9,9,9,8,9,9,9,8,8,0.26,8,8,1,1,1
26,25,0,1,1,30,0,30,30,10,0,10,9,9,9,7,8,30,10,20,20,10,10,9,9,9,9,9,6,8,8,7,7,8,0.21,7,7,0,1,1
24,22,0,1,3,20,15,20,20,5,10,5,5,5,5,5,5,5,15,45,25,0,10,6,8,9,8,7,7,7,7,5,5,5,0.03,7,5,1,1,1
27,24,0,6,3,20,20,20,20,10,10,6,6,7,5,6,5,10,25,25,10,10,20,8,8,6,9,9,8,6,8,5,8,5,-0.17,6,5,0,1,1
22,26,0,1,1,30,10,20,20,10,10,8,9,9,9,8,8,20,15,20,20,5,10,5,7,6,7,7,10,10,10,10,10,10,0.26,10,10,1,1,1
22,24,0,1,1,5,15,45,25,0,10,7,7,7,5,5,5,20,15,20,20,5,10,5,7,6,7,7,5,5,5,5,5,5,0.03,5,5,1,1,1
26,23,1,5,1,17,18,18,15,17,15,4,7,9,9,10,7,25,10,20,20,15,10,8,6,8,9,6,8,6,7,7,7,5,0.07,8,3,0,1,1
21,22,1,6,7,10,20,20,20,15,15,10,9,9,8,8,7,60,15,0,15,0,10,6,8,8,10,10,6,9,8,6,8,6,-0.34,9,3,0,1,1
21,28,1,6,7,15,15,20,15,15,20,6,9,8,8,8,5,60,15,0,15,0,10,6,8,8,10,10,6,6,8,7,7,2,-0.47,8,0,0,1,1
25,26,0,3,1,30,10,20,20,10,10,6,8,8,7,7,8,30,0,30,30,10,0,7,9,9,8,7,10,9,9,9,7,8,0.21,9,6,0,1,1
24,28,0,3,3,15,15,20,15,15,20,6,8,8,8,8,5,20,20,20,20,10,10,7,7,8,8,8,6,7,8,6,5,7,0.28,6,6,0,1,1
24,27,0,3,3,10,25,25,10,10,20,8,6,8,5,8,5,20,20,20,20,10,10,7,7,8,8,8,6,6,7,5,6,5,-0.17,6,7,0,1,1
22,28,0,2,2,20,20,20,10,10,20,8,8,7,7,7,5,15,20,20,20,15,10,6,8,8,8,8,4,7,8,10,7,7,0.56,8,4,0,1,1
22,29,1,2,2,50,7,20,23,0,0,6,9,9,9,6,6,15,20,20,20,15,10,6,8,8,8,8,6,5,6,7,6,7,-0.05,6,4,0,1,1
22,28,1,2,2,30,30,20,10,10,0,8,8,9,8,8,9,15,20,20,20,15,10,6,8,8,8,8,10,7,8,7,9,9,0.55,10,5,0,1,1
22,25,0,2,2,30,15,20,20,0,5,8,7,8,8,7,7,15,20,20,20,15,10,6,8,8,8,8,7,7,8,10,9,8,-0.28,9,5,0,1,1
22,21,1,2,2,19,24,21,23,5,8,6,8,8,8,9,7,15,20,20,20,15,10,6,8,8,8,8,9,9,9,10,9,10,0.63,10,7,0,1,1
23,21,0,1,4,19,24,21,23,5,8,6.5,7,6.5,5,5,5,10,25,20,10,20,15,3,10,3,8,8,9,9,9,9,9,9,0.65,10,1,0,1,1
23,25,0,1,4,15,10,30,10,5,30,7,10,8,8,8,3,10,25,20,10,20,15,3,10,3,8,8,7,10,10,6,10,6,0.59,9,3,0,1,1
26,21,0,8,8,19,24,21,23,5,8,6,8,9,7,6,5,10,20,15,20,20,15,7,9,8,7,7,5,7,7,7,5,6,0.52,6,5,0,1,1
26,24,0,8,8,10,20,35,20,0,15,7,8,7,7,4,7,10,20,15,20,20,15,7,9,8,7,7,6,6,6,6,6,6,0.6,7,5,1,1,1
27,32,0,3,1,30,10,30,20,10,0,10,9,8,7,7,10,10,20,20,10,20,20,8,8,8,8,8,8,8,8,8,8,9,0.06,9,8,1,1,1
27,25,0,3,1,30,15,20,20,0,5,6,9,9,6,5,7,10,20,20,10,20,20,8,8,8,8,8,8,8,9,9,8,8,0.31,9,8,0,1,1
27,25,1,3,1,15,10,30,10,5,30,7,10,7,7,7,5,10,20,20,10,20,20,8,8,8,8,8,8,8,8,8,8,8,0.34,8,8,0,1,1
28,28,1,6,9,30,30,20,10,10,0,8,7,7,5,5,8,10,10,20,20,20,20,8,7,8,7,7,8,8,8,7,9,8,0.61,9,7,0,1,1
28,27,1,6,9,20,15,25,15,20,5,8,6,7,7,7,6,10,10,20,20,20,20,8,7,8,7,7,6,8,8,8,4,7,0.53,8,8,0,1,1
28,24,1,6,9,10,20,35,20,0,15,8,7,6,7,6,6,10,10,20,20,20,20,8,7,8,7,7,7,7,7,8,7,7,0.55,8,9,0,1,1
25,28,0,2,7,20,20,20,10,10,20,9,9,8,8,6,6,20,20,20,20,10,10,8,9,8,8,7,7,7,10,10,9,8,0.29,8,8,0,1,1
25,28,0,2,7,30,30,20,10,10,0,4,8,7,4,3,2,20,20,20,20,10,10,8,9,8,8,7,8,8,10,10,10,10,0.66,9,8,0,1,1
25,25,0,2,7,30,15,20,20,0,5,8,7,7,6,7,6,20,20,20,20,10,10,8,9,8,8,7,7,9,9,10,9,8,-0.08,9,8,0,1,1
25,21,0,2,7,19,24,21,23,5,8,8,8,8,8,7,7.5,20,20,20,20,10,10,8,9,8,8,7,7,10,9,10,8,9,0.71,10,8,0,1,1
25,25,0,2,7,15,10,30,10,5,30,7,10,8,8,7,5,20,20,20,20,10,10,8,9,8,8,7,6,10,10,8,8,8,0.66,9,8,0,1,1
35,28,0,1,5,30,30,20,10,10,0,6,7,8,8,9,9,10,32,20,12,11,15,5,9,9,5,5,8,7,8,8,8,7,0.79,7,4,0,1,1
35,21,0,1,5,19,24,21,23,5,8,9,10,9,8,7,6.5,10,32,20,12,11,15,5,9,9,5,5,8,8,8,7,5,8,0.72,4,3,0,1,1
32,25,0,1,1,30,15,20,20,0,5,7,9,9,8,7,9,30,30,30,5,0,5,7,9,7,8,5,5,5,7,8,7,5,0.17,7,5,0,1,1
32,24,0,1,1,10,20,35,20,0,15,7,8,9,8,8,5,30,30,30,5,0,5,7,9,7,8,5,4,0,8,7,7,6,0.76,7,7,0,1,1
30,21,1,3,5,19,24,21,23,5,8,8,8,7,8,6,8,20,25,15,15,15,10,7,9,9,8,9,7,6,6,5,6,5,0.56,6,6,0,1,1
22,29,1,1,1,50,7,20,23,0,0,8,8,8,8,8,7,15,20,20,20,5,20,7,9,9,9,4,7,7,7,7,7,6,-0.07,7,5,0,1,1
22,30,0,1,1,20,25,25,15,5,10,8,10,9,9,7,8,15,20,20,20,5,20,7,9,9,9,4,7,6,6,5,5,5,0.32,6,5,0,1,1
22,27,1,1,1,20,15,25,15,20,5,7,7,7,8,7,6,15,20,20,20,5,20,7,9,9,9,4,9,8,7,8,5,7,0.14,8,5,0,1,1
22,25,0,1,1,30,15,20,20,0,5,8,8,8,8,7,6,15,20,20,20,5,20,7,9,9,9,4,7,8,8,8,8,6,-0.06,7,6,0,1,1
22,21,1,1,1,19,24,21,23,5,8,8,8,8,7,8,8,15,20,20,20,5,20,7,9,9,9,4,10,7,7,6,6,8,0.52,5,2,0,1,1
22,24,1,1,1,10,20,35,20,0,15,8,6,8,7,7,5,15,20,20,20,5,20,7,9,9,9,4,10,8,6,7,10,5,0.44,9,4,0,1,1
22,25,0,1,1,15,10,30,10,5,30,7,10,8,8,7,8,15,20,20,20,5,20,7,9,9,9,4,6,7,7,7,5,7,0.73,7,5,0,1,1
22,28,1,1,1,20,20,15,15,5,25,7,8,9,8,7,8,15,20,20,20,5,20,7,9,9,9,4,8,7,7,7,7,8,0.5,8,6,0,1,1
23,28,1,8,10,30,30,20,10,10,0,8,8,8,8,7,4,15,15,20,15,15,20,9,9,9,9,9,8,8,7,7,8,7,0.24,6,8,0,1,1
23,21,1,8,10,19,24,21,23,5,8,9,9,9,9,9,8.5,15,15,20,15,15,20,9,9,9,9,9,8,10,8,9,8,8,0.72,8,8,0,1,1
27,28,1,3,2,30,30,20,10,10,0,9,8,8,7,7,6,25,15,20,20,20,0,8,9,8,9,10,9,9,9,9,9,9,0.64,9,10,0,1,1
27,27,1,3,2,20,15,25,15,20,5,7,7,7,6,7,6,25,15,20,20,20,0,8,9,8,9,10,9,9,9,8,8,7,0.56,9,5,0,1,1
23,25,1,4,1,15,10,30,10,5,30,7,10,8,6,8,3,15,21,18,18,10,18,5,8,5,7,5,6,7,7,5,6,7,0.4,7,2,0,1,1
29,29,1,1,2,50,7,20,23,0,0,8,7,8,6,8,9,10,20,20,20,20,10,9,10,9,9,9,10,10,10,8,9,10,0.17,9,8,0,1,1
29,28,1,1,2,30,30,20,10,10,0,6,7,8,5,7,7,10,20,20,20,20,10,9,10,9,9,9,10,10,9,10,9,9,0.59,9,9,0,1,1
29,25,0,1,2,30,15,20,20,0,5,8,7,8,7,6,6,10,20,20,20,20,10,9,10,9,9,9,7,8,9,9,8,8,0.03,7,6,0,1,1
29,21,1,1,2,19,24,21,23,5,8,9,9,9,9,9,8,10,20,20,20,20,10,9,10,9,9,9,8,9,9,10,9,9,0.8,8,8,0,1,1
29,25,0,1,2,15,10,30,10,5,30,9,10,8,6,8,3,10,20,20,20,20,10,9,10,9,9,9,7,9,9,7,9,7,0.6,7,8,0,1,1
29,26,1,2,2,18,18,18,19,13,14,5,7,7,8,5,6,14,20,18,24,18,6,8,8,8,8,7,7,8,7,7,7,7,-0.57,8,6,0,1,1
29,30,0,2,2,20,25,25,15,5,10,8,9,10,10,8,7,14,20,18,24,18,6,8,8,8,8,7,7,7,7,7,7,7,0.17,7.5,6,0,1,1
